Alejandro,20,H,alejandro@gmail.com,5589465153
Wendy Karina,20,M,wendy@gmail.com,5545267990
Rafael,25,H,rafael@gmail.com,5516913476
Miguel,19,H,miguel@hotmail.com,5546731965
Karina,20,M,karina@gmail.com ,5543897250
Daniela,22,M,daniela@gmail.com,5513467851
Nancy,25,M,nancy@gmail.com,5549167352
Karen,22,M,karen@hotmail.com,5513487620
Abigail,20,M,abigail@gmail.com,5543512022
Leonardo,19,H,leonardo@gmail.com,5527578921
Alexis,20,H,alexis@gmail.com,5597465952
Manuel,20,H,manuel@gmail.com,5588642037
Demian ,20,H,demian@gmail.com,5588624320
Jazmin,30,M,jazmin@gmail.com,5520647950
Teresa,24,M,teresa@gmail.com,5537869520
